Version,Name,Start,End
Flagship Event,Unreconciled Stars,16-Nov-20,30-Nov-20
Flagship Event,The Chalk Prince and the Dragon,23-Dec-20,5-Jan-21
Flagship Event,Lantern Rite,10-Feb-21,28-Feb-21
Flagship Event,Invitation of Windblume,19-Mar-21,5-Apr-21
Flagship Event,Energy Amplifier Initiation,30-Apr-21,17-May-21
Flagship Event,Midsummer Island Adventure,9-Jun-21,28-Jun-21
Flagship Event,Thunder Sojourn,22-Jul-21,9-Aug-21
Flagship Event,Moonlight Merriment,27-Sep-21,11-Oct-21
Flagship Event,Labyrinth Warriors,21-Oct-21,8-Nov-21
Flagship Event,Shadows Amidst Snowstorms,25-Nov-21,13-Dec-21
Flagship Event,Fleeting Colors in Flight,25-Jan-22,12-Feb-22
Flagship Event,Three Realms Gateway Offering,17-Feb-22,30-Mar-22
Flagship Event,Hues of the Violet Garden,,
Login Event,Seize the Day 2020-09-28,28-Sep-20,13-Oct-20
Login Event,Seize the Day 2020-10-19,19-Oct-20,25-Nov-20
Login Event,Seize the Day 2020-11-11,11-Nov-20,25-Nov-20
Login Event,Seize the Day 2020-12-01,1-Dec-20,16-Dec-20
Login Event,Stellar Reunion,23-Dec-20,Indefinite
Login Event,Seize the Day 2021-01-16,16-Jan-21,31-Jan-21
Login Event,May Fortune Find You 2021-02-11,11-Feb-21,26-Feb-21
Login Event,Night Sky's Grace,26-Feb-21,17-Mar-21
Login Event,HoYoLAB Community Daily Check-In,1-Mar-21,Indefinite
Login Event,Outland Gastronomy,17-Mar-21,1-Apr-21
Login Event,Passage of Clouds and Stars,28-Sep-21,13-Oct-21
Login Event,May Fortune Find You 2022-01-25,25-Jan-22,9-Feb-22
Login Event,Flowing Lights and Colors,9-Feb-22,16-Feb-22
Web Event,Pre-Registration,19-Aug-20,28-Sep-20
Web Event,Get Ready for the Road,10-Sep-20,10-Oct-20
Web Event,Caroline's Adventure Supplies,3-Oct-20,11-Oct-20
Web Event,2020 Halloween Discord Art Contest,23-Oct-20,29-Oct-20
Web Event,Adventurers Assemble,27-Oct-20,27-Nov-20
Web Event,Stone Harbor Treasure Journal,13-Nov-20,22-Nov-20
Web Event,A Thousand Questions With Paimon 2020-12-18,18-Dec-20,20-Dec-20
Web Event,2020 Winter Art Contest,18-Dec-20,27-Dec-20
Web Event,1M subscribers to Genshin Impact's Youtube Channel!,24-Dec-20,31-Dec-20
Web Event,Slime Paradise,22-Jan-21,31-Jan-21
Web Event,Year of the Ox Event,5-Feb-21,17-Feb-21
Web Event,A Sea of Lights Fan Art Event,18-Feb-21,24-Feb-21
Web Event,Wish Upon a Lantern,19-Feb-21,4-Mar-21
